AN	MORPH_TYPE	EXPONENT	BASE_POS	SEM_TYPE
ourdisseur	affixed	eur	v	action
ouvreur	affixed	eur	v	action
ouvreuse	affixed	eur	v	action
pacificateur	affixed	eur	v	action
pagayeur	affixed	eur	v	action
pareur	affixed	eur	v	action
parieur	affixed	eur	v	action
parleur	affixed	eur	v	action
parqueteur	affixed	eur	v	action
passeur	affixed	eur	v	action
passeuse	affixed	eur	v	action
pasticheur	affixed	eur	v	action
patineur	affixed	eur	v	action
paveur	affixed	eur	v	action
payeur	affixed	eur	v	action
pécheur	affixed	eur	v	action
pêcheur	affixed	eur	v	action
pédaleur	affixed	eur	v	action
pelleteur	affixed	eur	v	action
pendeur	affixed	eur	v	action
penseur	affixed	eur	v	action
penseuse	affixed	eur	v	action
percepteur	affixed	eur	v	action
perceur	affixed	eur	v	action
persécuteur	affixed	eur	v	action
perturbateur	affixed	eur	v	action
péteur	affixed	eur	v	action
piégeur	affixed	eur	v	action
pilleur	affixed	eur	v	action
pinailleur	affixed	eur	v	action
piocheur	affixed	eur	v	action
pipeur	affixed	eur	v	action
pisseur	affixed	eur	v	action
pisseuse	affixed	eur	v	action
placeur	affixed	eur	v	action
plaideur	affixed	eur	v	action
planificateur	affixed	eur	v	action
planteur	affixed	eur	v	action
plaqueur	affixed	eur	v	action
plastiqueur	affixed	eur	v	action
pleureur	affixed	eur	v	action
pleureuse	affixed	eur	v	action
pleurnicheur	affixed	eur	v	action
plieur	affixed	eur	v	action
plongeur	affixed	eur	v	action
polisseur	affixed	eur	v	action
pollueur	affixed	eur	v	action
pompeur	affixed	eur	v	action
pondeur	affixed	eur	v	action
pondeuse	affixed	eur	v	action
porteur	affixed	eur	v	action
porteuse	affixed	eur	v	action
poseur	affixed	eur	v	action
pourchasseur	affixed	eur	v	action
pourfendeur	affixed	eur	v	action
pourvoyeur	affixed	eur	v	action
précepteur	affixed	eur	n	objCog
prêcheur	affixed	eur	v	action
préparateur	affixed	eur	v	action
présentateur	affixed	eur	v	action
prêteur	affixed	eur	v	action
prévaricateur	affixed	eur	v	action
prieur	affixed	eur	v	action
priseur	affixed	eur	v	action
procréateur	affixed	eur	v	action
producteur	affixed	eur	v	action
profanateur	affixed	eur	v	action
professeur	affixed	eur	v	action
profiteur	affixed	eur	v	action
programmeur	affixed	eur	v	action
promeneur	affixed	eur	v	action
promeneuse	affixed	eur	v	action
prometteur	affixed	eur	v	action
promoteur	affixed	eur	v	action
pronostiqueur	affixed	eur	v	action
propagateur	affixed	eur	v	action
